file,selector,context,line_before,declarations
delivery-tax-document.css,.dtd-page-shell,,10,min-width:0; color:var(--dtd-text)
delivery-tax-document.css,.dtd-page-shell,,282,"padding:12px; border-radius:18px; background:radial-gradient(circle at 100% 0, rgba(8, 104, 201, .08), transparent 30%),
    linear-gradient(180deg, #f8fbff 0%, #f3f7fb 100%)"
delivery-tax-document.css,.dtd-toolbar,,11,"display:flex; align-items:center; justify-content:space-between; gap:16px; background:#fff; border:1px solid var(--dtd-border); border-radius:14px; padding:12px 16px; margin-bottom:12px; box-shadow:0 4px 16px rgba(15, 73, 134, .06)"
delivery-tax-document.css,.dtd-toolbar,,289,"position:sticky; top:8px; z-index:20; min-height:68px; border-color:#cbdbea; border-radius:16px; background:rgba(255, 255, 255, .96); box-shadow:0 10px 28px rgba(15, 73, 134, .10); backdrop-filter:blur(10px)"
delivery-tax-document.css,.dtd-brand-title img,,24,width:58px; height:58px; object-fit:contain
delivery-tax-document.css,.dtd-brand-title img,,300,"width:52px; height:52px; filter:drop-shadow(0 5px 8px rgba(8, 104, 201, .14))"
delivery-tax-document.css,.dtd-brand-title h2,,25,margin:2px 0 0; font-size:22px; color:#111827
delivery-tax-document.css,.dtd-brand-title h2,,305,font-size:21px; letter-spacing:-.02em
delivery-tax-document.css,.dtd-company-mini,,26,color:var(--dtd-blue-dark); font-size:13px; font-weight:700
delivery-tax-document.css,.dtd-company-mini,,309,display:inline-flex; align-items:center; min-height:22px; padding:2px 9px; border-radius:999px; background:var(--dtd-blue-soft); color:var(--dtd-blue-dark); font-size:11px
delivery-tax-document.css,.dtd-toolbar-actions,,27,display:flex; gap:8px; flex-wrap:wrap; justify-content:flex-end
delivery-tax-document.css,.dtd-toolbar-actions,,319,gap:7px
delivery-tax-document.css,.dtd-btn,,28,border:1px solid var(--dtd-blue); color:var(--dtd-blue-dark); background:#fff; border-radius:8px; padding:9px 14px; font:inherit; font-size:13px; font-weight:700; cursor:pointer
delivery-tax-document.css,.dtd-btn,,320,"min-height:40px; border-radius:10px; padding:9px 13px; box-shadow:0 2px 5px rgba(15, 73, 134, .06); transition:background .16s ease, border-color .16s ease, box-shadow .16s ease, transform .16s ease"
delivery-tax-document.css,.dtd-btn:hover,,39,background:var(--dtd-blue-soft)
delivery-tax-document.css,.dtd-btn:hover,,327,"border-color:var(--dtd-blue-dark); box-shadow:0 5px 12px rgba(8, 104, 201, .12); transform:translateY(-1px)"
delivery-tax-document.css,.dtd-btn-primary,,41,background:var(--dtd-blue); color:#fff
delivery-tax-document.css,.dtd-btn-primary,,339,"border-color:transparent; background:linear-gradient(135deg, #0b76d9, #0758b6); box-shadow:0 7px 15px rgba(8, 104, 201, .22)"
delivery-tax-document.css,.dtd-workspace,,44,"display:grid; grid-template-columns:minmax(560px, 1.05fr) minmax(520px, .95fr); gap:12px; align-items:start"
delivery-tax-document.css,.dtd-workspace,,346,"grid-template-columns:minmax(600px, 1.04fr) minmax(560px, .96fr); gap:16px"
delivery-tax-document.css,.dtd-editor-card,,50,"background:#fff; border:1px solid var(--dtd-border); border-radius:14px; overflow:hidden; box-shadow:0 4px 16px rgba(15, 73, 134, .06)"
delivery-tax-document.css,.dtd-editor-card,,350,padding:2px 0 10px; overflow:visible; border:0; background:transparent; box-shadow:none
delivery-tax-document.css,.dtd-preview-card,,50,"background:#fff; border:1px solid var(--dtd-border); border-radius:14px; overflow:hidden; box-shadow:0 4px 16px rgba(15, 73, 134, .06)"
delivery-tax-document.css,.dtd-preview-card,,125,position:sticky; top:8px; padding:12px
delivery-tax-document.css,.dtd-preview-card,,482,"top:90px; border-color:#cfdeeb; border-radius:16px; padding:13px; box-shadow:0 12px 30px rgba(15, 73, 134, .10)"
delivery-tax-document.css,.dtd-form-section,,57,padding:14px 16px; border-bottom:1px solid #e7edf4
delivery-tax-document.css,.dtd-form-section,,357,"margin:10px; padding:16px 17px; border:1px solid #d9e5f0; border-radius:14px; background:#fff; box-shadow:0 5px 18px rgba(20, 65, 110, .055)"
delivery-tax-document.css,.dtd-form-section,,1668,transition:background .15s ease
delivery-tax-document.css,.dtd-form-section:last-child,,58,border-bottom:0
delivery-tax-document.css,.dtd-form-section:last-child,,365,border-bottom:1px solid #d9e5f0
delivery-tax-document.css,.dtd-section-title,,59,display:flex; align-items:center; gap:8px; color:var(--dtd-blue-dark); font-weight:800; font-size:14px; margin-bottom:12px
delivery-tax-document.css,.dtd-section-title,,366,margin-bottom:14px; padding-bottom:10px; border-bottom:1px solid #e9f0f6; color:#074d98; font-size:14px; letter-spacing:-.01em
delivery-tax-document.css,.dtd-section-title,,1672,font-size:15px
delivery-tax-document.css,.dtd-section-title span,,60,display:grid; place-items:center; width:22px; height:22px; border-radius:50%; color:#fff; background:var(--dtd-blue); font-size:12px
delivery-tax-document.css,.dtd-section-title span,,374,"width:25px; height:25px; box-shadow:0 4px 10px rgba(8, 104, 201, .22)"
delivery-tax-document.css,.dtd-grid,,61,display:grid; gap:10px 12px
delivery-tax-document.css,.dtd-grid,,379,gap:12px 14px
delivery-tax-document.css,.dtd-field,,70,display:flex; flex-direction:column; gap:5px; min-width:0
delivery-tax-document.css,.dtd-field,,380,gap:6px
delivery-tax-document.css,.dtd-field > span,,71,font-size:12px; color:#374151; font-weight:700
delivery-tax-document.css,.dtd-field > span,,381,color:#334155; font-size:11px; letter-spacing:.01em
delivery-tax-document.css,.dtd-field input,,72,width:100%; box-sizing:border-box; border:1px solid #cbd5e1; border-radius:7px; background:#fff; color:#111827; padding:8px 10px; font:inherit; font-size:13px; outline:none
delivery-tax-document.css,.dtd-field input,,386,"min-height:40px; border-color:#c9d7e5; border-radius:9px; padding:9px 11px; background:#fbfdff; font-size:13px; transition:border-color .15s ease, background .15s ease, box-shadow .15s ease"
delivery-tax-document.css,.dtd-field input,,1671,min-height:42px; border-width:1.5px
delivery-tax-document.css,.dtd-field select,,72,width:100%; box-sizing:border-box; border:1px solid #cbd5e1; border-radius:7px; background:#fff; color:#111827; padding:8px 10px; font:inherit; font-size:13px; outline:none
delivery-tax-document.css,.dtd-field select,,386,"min-height:40px; border-color:#c9d7e5; border-radius:9px; padding:9px 11px; background:#fbfdff; font-size:13px; transition:border-color .15s ease, background .15s ease, box-shadow .15s ease"
delivery-tax-document.css,.dtd-field select,,1671,min-height:42px; border-width:1.5px
delivery-tax-document.css,.dtd-field textarea,,72,width:100%; box-sizing:border-box; border:1px solid #cbd5e1; border-radius:7px; background:#fff; color:#111827; padding:8px 10px; font:inherit; font-size:13px; outline:none
delivery-tax-document.css,.dtd-field textarea,,75,min-height:72px; resize:vertical
delivery-tax-document.css,.dtd-field textarea,,386,"min-height:40px; border-color:#c9d7e5; border-radius:9px; padding:9px 11px; background:#fbfdff; font-size:13px; transition:border-color .15s ease, background .15s ease, box-shadow .15s ease"
delivery-tax-document.css,.dtd-field textarea,,397,min-height:78px; line-height:1.45
delivery-tax-document.css,.dtd-field textarea,,1671,min-height:42px; border-width:1.5px
delivery-tax-document.css,.dtd-field input:focus,,76,"border-color:var(--dtd-blue); box-shadow:0 0 0 3px rgba(8, 104, 201, .12)"
delivery-tax-document.css,.dtd-field input:focus,,401,"border-color:#0b76d9; background:#fff; box-shadow:0 0 0 3px rgba(8, 104, 201, .13)"
delivery-tax-document.css,.dtd-field select:focus,,76,"border-color:var(--dtd-blue); box-shadow:0 0 0 3px rgba(8, 104, 201, .12)"
delivery-tax-document.css,.dtd-field select:focus,,401,"border-color:#0b76d9; background:#fff; box-shadow:0 0 0 3px rgba(8, 104, 201, .13)"
delivery-tax-document.css,.dtd-field textarea:focus,,76,"border-color:var(--dtd-blue); box-shadow:0 0 0 3px rgba(8, 104, 201, .12)"
delivery-tax-document.css,.dtd-field textarea:focus,,401,"border-color:#0b76d9; background:#fff; box-shadow:0 0 0 3px rgba(8, 104, 201, .13)"
delivery-tax-document.css,.dtd-company-settings,,77,margin-top:12px; border:1px dashed #b8cbe0; border-radius:9px; background:#f8fbff
delivery-tax-document.css,.dtd-company-settings,,408,border-style:solid; border-color:#d1dfec; background:#f8fbff
delivery-tax-document.css,.dtd-company-settings summary,,78,cursor:pointer; padding:10px 12px; color:var(--dtd-blue-dark); font-weight:700; font-size:12px
delivery-tax-document.css,.dtd-company-settings summary,,413,padding:11px 13px
delivery-tax-document.css,.dtd-branch-options,,89,"display:grid; grid-template-columns:repeat(2, minmax(0, 1fr)); gap:8px"
delivery-tax-document.css,.dtd-branch-options,,414,gap:10px
delivery-tax-document.css,.dtd-branch-option,,90,display:grid; grid-template-columns:auto 1fr; grid-template-rows:auto auto; align-items:center; column-gap:8px; border:1px solid #bfd0e3; border-radius:9px; padding:9px 10px; background:#fff; color:#334155; cursor:pointer; text-align:left; font:inherit
delivery-tax-document.css,.dtd-branch-option,,415,"min-height:62px; border-radius:12px; padding:10px 12px; box-shadow:0 2px 7px rgba(15, 73, 134, .04); transition:.16s ease"
delivery-tax-document.css,.dtd-branch-option:hover,,91,background:#f4f9ff; border-color:var(--dtd-blue)
delivery-tax-document.css,.dtd-branch-option:hover,,422,"transform:translateY(-1px); box-shadow:0 6px 14px rgba(8, 104, 201, .09)"
delivery-tax-document.css,.dtd-branch-option.active,,92,"border-color:var(--dtd-blue); background:var(--dtd-blue-soft); box-shadow:0 0 0 2px rgba(8,104,201,.1); color:var(--dtd-blue-dark)"
delivery-tax-document.css,.dtd-branch-option.active,,423,"background:linear-gradient(180deg, #f4faff, #e9f5ff); box-shadow:inset 0 0 0 1px rgba(8,104,201,.12), 0 6px 15px rgba(8,104,201,.08)"
delivery-tax-document.css,.dtd-branch-dot,,96,grid-row:1 / span 2; width:11px; height:11px; border-radius:50%; background:var(--dtd-blue)
delivery-tax-document.css,.dtd-branch-dot,,427,"width:13px; height:13px; box-shadow:0 0 0 4px rgba(8,104,201,.09)"
delivery-tax-document.css,.dtd-branch-dot.ub,,97,background:#7c4cc4
delivery-tax-document.css,.dtd-branch-dot.ub,,428,"box-shadow:0 0 0 4px rgba(124,76,196,.10)"
delivery-tax-document.css,.dtd-items-wrap,,99,overflow-x:auto; border:1px solid #cfdbea; border-radius:8px
delivery-tax-document.css,.dtd-items-wrap,,431,"border-color:#c9d9e8; border-radius:11px; background:#fff; box-shadow:inset 0 1px 0 rgba(255,255,255,.7)"
delivery-tax-document.css,.dtd-items-editor,,100,width:100%; min-width:790px; border-collapse:collapse; font-size:12px
delivery-tax-document.css,.dtd-items-editor,,437,font-size:12px
delivery-tax-document.css,.dtd-items-editor th,,101,"background:linear-gradient(180deg, #1484d7, #0870c4); color:#fff; padding:8px 6px; white-space:nowrap"
delivery-tax-document.css,.dtd-items-editor th,,438,"position:sticky; top:0; z-index:2; height:38px; padding:8px; background:linear-gradient(180deg, #0f7bd5, #075eb8); letter-spacing:.01em"
delivery-tax-document.css,.dtd-items-editor td,,102,border-top:1px solid #dbe5ef; padding:4px; text-align:center
delivery-tax-document.css,.dtd-items-editor td,,447,padding:5px; background:#fff
delivery-tax-document.css,.dtd-items-editor input,,103,width:100%; box-sizing:border-box; border:1px solid transparent; border-radius:4px; padding:7px 6px; font:inherit; background:#fff
delivery-tax-document.css,.dtd-items-editor input,,450,border-radius:7px; padding:8px; background:transparent
delivery-tax-document.css,.dtd-items-editor textarea,,103,width:100%; box-sizing:border-box; border:1px solid transparent; border-radius:4px; padding:7px 6px; font:inherit; background:#fff
delivery-tax-document.css,.dtd-items-editor textarea,,104,min-height:50px; resize:vertical; line-height:1.35
delivery-tax-document.css,.dtd-items-editor textarea,,450,border-radius:7px; padding:8px; background:transparent
delivery-tax-document.css,.dtd-add-item,,108,margin-top:10px; border:1px solid var(--dtd-blue); color:var(--dtd-blue); background:#fff; border-radius:7px; padding:7px 12px; font-weight:700; cursor:pointer
delivery-tax-document.css,.dtd-add-item,,456,min-height:38px; border-radius:9px; padding:8px 13px; background:#f5faff
delivery-tax-document.css,.dtd-summary-grid,,110,"display:grid; grid-template-columns:1.1fr repeat(3, 1fr); gap:10px; align-items:end"
delivery-tax-document.css,.dtd-summary-grid,,462,gap:12px
