ไฟล์ใน Trial,ขนาดไบต์,SHA256 Trial,เทียบ Integrated เดิม,การจัดการ
.env.example,1452,898880c8ca671cb53115e16badb9efa98f6727e4611fd049c8bf37a3b750b6c8,มีเฉพาะชุด Trial,เก็บเป็นข้อเสนอสำหรับ Cloud; ไม่โหลดใน Local Demo
.github/workflows/deploy.yml,1766,ca4dced32938b6280103eb8da6e085718cbacc00d49a3ace8ab35c1f9e32e50e,มีเฉพาะชุด Trial,เก็บเป็นข้อเสนอสำหรับ Cloud; ไม่โหลดใน Local Demo
BUSINESS_RULES_TRIAL_GUIDE.md,4500,bd34a251140d5065c0ffca3b9f5a1c74401c1257997de0113cdf79bf1cbdd9ba,มีอยู่แล้วและเหมือนกัน,คงไฟล์ฐาน Integrated; ใช้การแก้ไขรุ่นใหม่เมื่อมี
MULTITENANT_SETUP.md,11872,cd5ea4ce0c403180fa664eb5e9c9f050c75ea6c6608e094c8f7f011f5db4a137,มีอยู่แล้วและเหมือนกัน,ย้ายเอกสารเดิมไป docs/cloud-reference/
README.md,35916,7cbe4f3be64a0bba4174213f80cd7af6bf793abf1e66c5bea7738f033979fc24,ชื่อเดียวกันแต่ต่างกัน,เขียนคู่มือรุ่นนี้ใหม่; เก็บคู่มือฐานใน docs/README_PREVIOUS.md
SECURITY_TEST_CHECKLIST.md,3238,600c55108d9762c80bb465d467ad44084fe8b403a0850f779d31e13fbf909924,มีอยู่แล้วและเหมือนกัน,ย้ายเอกสารเดิมไป docs/cloud-reference/
TRIAL_SETUP.md,3865,2e4809141bd33ed8df46cb5c7733b7bb69a5619f235142ac0b6bb1629e28225b,มีอยู่แล้วและเหมือนกัน,ย้ายเอกสารเดิมไป docs/cloud-reference/
__prodcore_test.html,3876,daaeee87b4aee5fe1e18626025332e2dec54103081c18adc449bd9c3769921f2,มีอยู่แล้วและเหมือนกัน,แทนด้วยชุด tests/ ที่มี assertion
api/admin/create-trial.js,2905,4a396e8528cad77fc15b8f73fb94ce0fc434c69db618421ba6b4afc86e494524,มีเฉพาะชุด Trial,เก็บเป็นข้อเสนอสำหรับ Cloud; ไม่โหลดใน Local Demo
api/admin/update-subscription.js,2213,c3c09346d46e2636970a371b2f8c1f10527aed5af2135f5568e2e1e4590a1511,มีเฉพาะชุด Trial,เก็บเป็นข้อเสนอสำหรับ Cloud; ไม่โหลดใน Local Demo
